0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:39:23 +0900] "GET /WebProjectEx1/day0420/Shopjson.html HTTP/1.1" 200 5769
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:39:23 +0900] "GET /WebProjectEx1/day0420/ShopToJson.jsp HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:39:25 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=13 HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:39:29 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=13 HTTP/1.1" 200 438
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:47:47 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=13 HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [21/Apr/2022:12:48:01 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1078
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:17:16 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:17:36 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:17:50 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1486
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:20:06 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:17 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:17 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:18 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:18 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:18 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:18 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:21 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:21 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:21 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:21:21 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1527
